syscall_id,syscall_name,status
158,arch_prctl,broken
13,rt_sigaction,incomplete/restricted
14,rt_sigprocmask,incomplete/restricted
56,clone,in progress
127,rt_sigpending,incomplete/restricted
128,rt_sigtimedwait,incomplete/restricted
130,rt_sigsuspend,incomplete/restricted
202,futex,in progress
205,set_thread_area,in progress
211,get_thread_area,in progress
12,brk,incomplete/restricted
49,bind,incomplete/restricted
50,listen,incomplete/restricted
60,exit,incomplete/restricted
231,exit_group,incomplete/restricted
0,read,okay
1,write,okay
3,close,okay
5,fstat,okay
6,lstat,okay
7,poll,okay
8,lseek,okay
9,mmap,okay
10,mprotect,okay
11,munmap,okay
17,pread64,okay
18,pwrite64,okay
19,readv,okay
20,writev,okay
21,access,okay
23,select,okay
33,dup2,okay
35,nanosleep,okay
39,getpid,okay
41,socket,okay
42,connect,okay
43,accept,okay
44,sendto,okay
45,recvfrom,okay
46,sendmsg,okay
47,recvmsg,okay
48,shutdown,okay
51,getsockname,okay
52,getpeername,okay
53,socketpair,okay
54,setsockopt,okay
55,getsockopt,okay
62,kill,okay
63,uname,okay
73,flock,okay
74,fsync,okay
75,fdatasync,okay
76,truncate,okay
77,ftruncate,okay
80,chdir,okay
81,fchdir,okay
82,rename,okay
84,rmdir,okay
86,link,okay
89,readlink,okay
90,chmod,okay
91,fchmod,okay
95,umask,okay
102,getuid,okay
104,getgid,okay
105,setuid,okay
106,setgid,okay
107,geteuid,okay
108,getegid,okay
109,setpgid,okay
110,getppid,okay
111,getpgrp,okay
112,setsid,okay
113,setreuid,okay
114,setregid,okay
115,getgroups,okay
116,setgroups,okay
117,setresuid,okay
118,getresuid,okay
119,setresgid,okay
120,getresgid,okay
121,getpgid,okay
124,getsid,okay
133,mknod,okay
140,getpriority,okay
141,setpriority,okay
170,sethostname,okay
228,clock_gettime,okay
235,utimes,okay
261,futimesat,okay
269,faccessat,okay
271,ppoll,okay
280,utimensat,okay
285,fallocate,okay
292,dup3,okay
295,preadv,okay
296,pwritev,okay
302,prlimit64,okay
79,getcwd,okay
22,pipe,planned
40,sendfile,planned
213,epoll_create,planned
232,epoll_wait,planned
233,epoll_ctl,planned
281,epoll_pwait,planned
291,epoll_create1,planned
2,open,registration missing
4,stat,okay
16,ioctl,registration missing
25,mremap,registration missing
32,dup,registration missing
34,pause,okay
37,alarm,okay
38,setitimer,registration missing
59,execve,registration missing
61,wait4,registration missing
72,fcntl,registration missing
83,mkdir,okay
85,creat,okay
87,unlink,okay
88,symlink,okay
92,chown,registration missing
93,fchown,registration missing
94,lchown,registration missing
96,gettimeofday,okay
97,getrlimit,registration missing
98,getrusage,registration missing
99,sysinfo,registration missing
100,times,okay
103,syslog,registration missing
132,utime,registration missing
157,prctl,registration missing
160,setrlimit,registration missing
161,chroot,registration missing
162,sync,registration missing
165,mount,okay
166,umount2,okay
201,time,okay
222,timer_create,registration missing
223,timer_settime,registration missing
224,timer_gettime,registration missing
225,timer_getoverrun,registration missing
226,timer_delete,registration missing
227,clock_settime,registration missing
229,clock_getres,registration missing
257,openat,registration missing
284,eventfd,registration missing
293,pipe2,okay
15,rt_sigreturn,
24,sched_yield,
26,msync,
27,mincore,
28,madvise,
29,shmget,
30,shmat,
31,shmctl,
36,getitimer,
64,semget,
65,semop,
66,semctl,
67,shmdt,
68,msgget,
69,msgsnd,
70,msgrcv,
71,msgctl,
78,getdents,
101,ptrace,
122,setfsuid,
123,setfsgid,
125,capget,
126,capset,
129,rt_sigqueueinfo,
131,sigaltstack,
134,uselib,
135,personality,
136,ustat,
137,statfs,
138,fstatfs,
139,sysfs,
142,sched_setparam,
143,sched_getparam,
144,sched_setscheduler,
145,sched_getscheduler,
146,sched_get_priority_max,
147,sched_get_priority_min,
148,sched_rr_get_interval,
149,mlock,
150,munlock,
151,mlockall,
152,munlockall,
153,vhangup,
154,modify_ldt,
155,pivot_root,
156,_sysctl,
159,adjtimex,
163,acct,
164,settimeofday,
167,swapon,
168,swapoff,
169,reboot,
171,setdomainname,
172,iopl,
173,ioperm,
174,create_module,
175,init_module,
176,delete_module,
177,get_kernel_syms,
178,query_module,
179,quotactl,
180,nfsservctl,
181,getpmsg,
182,putpmsg,
183,afs_syscall,
184,tuxcall,
185,security,
186,gettid,
187,readahead,
188,setxattr,
189,lsetxattr,
190,fsetxattr,
191,getxattr,
192,lgetxattr,
193,fgetxattr,
194,listxattr,
195,llistxattr,
196,flistxattr,
197,removexattr,
198,lremovexattr,
199,fremovexattr,
200,tkill,planned
203,sched_setaffinity,
204,sched_getaffinity,
206,io_setup,
207,io_destroy,
208,io_getevents,
209,io_submit,
210,io_cancel,
212,lookup_dcookie,
214,epoll_ctl_old,
215,epoll_wait_old,
216,remap_file_pages,
217,getdents64,
218,set_tid_address,
219,restart_syscall,
220,semtimedop,
221,fadvise64,
230,clock_nanosleep,
234,tgkill,
236,vserver,
237,mbind,
238,set_mempolicy,
239,get_mempolicy,
240,mq_open,
241,mq_unlink,
242,mq_timedsend,
243,mq_timedreceive,
244,mq_notify,
245,mq_getsetattr,
246,kexec_load,
247,waitid,
248,add_key,
249,request_key,
250,keyctl,
251,ioprio_set,
252,ioprio_get,
253,inotify_init,
254,inotify_add_watch,
255,inotify_rm_watch,
256,migrate_pages,
258,mkdirat,
259,mknodat,
260,fchownat,
262,newfstatat,
263,unlinkat,
264,renameat,
265,linkat,
266,symlinkat,
267,readlinkat,
268,fchmodat,
270,pselect6,
272,unshare,
273,set_robust_list,
274,get_robust_list,
275,splice,
276,tee,
277,sync_file_range,
278,vmsplice,
279,move_pages,
282,signalfd,
283,timerfd_create,
286,timerfd_settime,
287,timerfd_gettime,
288,accept4,
289,signalfd4,
290,eventfd2,
294,inotify_init1,
297,rt_tgsigqueueinfo,
298,perf_event_open,
299,recvmmsg,
300,fanotify_init,
301,fanotify_mark,
303,name_to_handle_at,
304,open_by_handle_at,
305,clock_adjtime,
306,syncfs,
307,sendmmsg,
308,setns,
309,getcpu,
310,process_vm_readv,
311,process_vm_writev,
312,kcmp,
313,finit_module,
